staffId,firstName,lastName,addressId,storeId,email,active,username,password,lastUpdate
127,Kevin,Peterson,200,7,Kevin.Peterson@sakila.com,1,Kevin.Peterson,z%A88EceP+,2006-02-15 04:57:16.000
128,Mike,Montgomery,7,7,Mike.Montgomery@sakila.com,0,Mike.Montgomery,%gMGzpD31i,2006-02-15 04:57:16.000
129,Daniel,Stewart,213,7,Daniel.Stewart@sakila.com,1,Daniel.Stewart,(hDy&SZq)4,2006-02-15 04:57:16.000
130,Jessica,Walls,167,7,Jessica.Walls@sakila.com,1,Jessica.Walls,kRp1Hl)I*Z,2006-02-15 04:57:16.000
131,Melissa,Williams,13,7,Melissa.Williams@sakila.com,1,Melissa.Williams,Y9y0CY8r&P,2006-02-15 04:57:16.000
132,Shawn,Spencer,223,7,Shawn.Spencer@sakila.com,1,Shawn.Spencer,Ll0Ay%1P!T,2006-02-15 04:57:16.000
133,Sarah,Hernandez,136,7,Sarah.Hernandez@sakila.com,0,Sarah.Hernandez,c0Kx2gIx1_,2006-02-15 04:57:16.000
134,Derek,Esparza,160,7,Derek.Esparza@sakila.com,1,Derek.Esparza,^SOgmsi8i6,2006-02-15 04:57:16.000
135,Rachel,Gallegos,162,7,Rachel.Gallegos@sakila.com,0,Rachel.Gallegos,*q9@RL*bq&,2006-02-15 04:57:16.000
136,Cynthia,Newton,212,7,Cynthia.Newton@sakila.com,0,Cynthia.Newton,!dwrr5KOB#,2006-02-15 04:57:16.000
137,Megan,Wiley,22,7,Megan.Wiley@sakila.com,1,Megan.Wiley,25k@zN$n*f,2006-02-15 04:57:16.000
138,Dana,Miles,17,7,Dana.Miles@sakila.com,1,Dana.Miles,8T7Fqr#I#k,2006-02-15 04:57:16.000
139,Mark,Crawford,200,7,Mark.Crawford@sakila.com,1,Mark.Crawford,1NCTHjlB&l,2006-02-15 04:57:16.000
140,Melissa,Willis,197,7,Melissa.Willis@sakila.com,1,Melissa.Willis,S+3VGZ(kdE,2006-02-15 04:57:16.000
141,Danielle,Brown,142,7,Danielle.Brown@sakila.com,1,Danielle.Brown,*EH^LumG^5,2006-02-15 04:57:16.000
142,Denise,French,7,7,Denise.French@sakila.com,1,Denise.French,OPepJ9vfX^,2006-02-15 04:57:16.000
143,Charles,Townsend,185,7,Charles.Townsend@sakila.com,0,Charles.Townsend,VAh#9SWeMv,2006-02-15 04:57:16.000
